label,title,score,color,url
ПД,Производственный департамент,243,#c7e7f7,/people/dept/103
АХУ,Административно-хозяйственное управление,13,#017abe,/people/dept/2
ДПТ,Департамент программных технологий,102,#87cced,/people/dept/6
УКОТ,Управление компьютерного обеспечения и телекоммуникаций,17,#4eb3e5,/people/dept/145
ФД,Финансовый департамент,13,#34a6de,/people/dept/150
СКК,Служба контроля качества,10,#0484c7,/people/dept/143
ДСЭД,Департамент систем электронного документооборота и услуг для государственного управления,4,#60bae7,/people/dept/89
СПРП,Служба подбора и развития персонала,4,#006fb3,/people/dept/144
ДПС,Департамент прямого сбыта,74,#a9daf3,/people/dept/56
СКД,Служба кадровой документации,2,#0060a3,/people/dept/142
ДПД,Департамент продвижения и дистрибутирования,95,#98d3f0,/people/dept/30
Секретариат,Секретариат,2,#0060a3,/people/dept/141
Администрация,Администрация,6,#1393d4,/people/dept/5
